"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Последовательные тесты получения фактов из 16 категорий","664","Факты по категориям","tests","Mon Jun 16 12:17:31 UTC 2025","passed","Mon Jun 16 12:17:32 UTC 2025","","test_chuck_categories","",""
"Асинхронные тесты получения фактов из 16 категорий","1080","Факты по категориям","tests","Mon Jun 16 12:17:34 UTC 2025","passed","Mon Jun 16 12:17:35 UTC 2025","","test_chuck_categories_async","",""
"Последовательные тесты получения фактов из 16 категорий","711","Факты по категориям","tests","Mon Jun 16 12:17:29 UTC 2025","passed","Mon Jun 16 12:17:30 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","646","Факты по категориям","tests","Mon Jun 16 12:17:33 UTC 2025","passed","Mon Jun 16 12:17:34 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","672","Факты по категориям","tests","Mon Jun 16 12:17:27 UTC 2025","passed","Mon Jun 16 12:17:27 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","670","Факты по категориям","tests","Mon Jun 16 12:17:25 UTC 2025","passed","Mon Jun 16 12:17:25 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","638","Факты по категориям","tests","Mon Jun 16 12:17:32 UTC 2025","passed","Mon Jun 16 12:17:32 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","655","Факты по категориям","tests","Mon Jun 16 12:17:24 UTC 2025","passed","Mon Jun 16 12:17:25 UTC 2025","","test_chuck_categories","",""
"Тест попытки получения фактов при неправильной категории. Намеренная ошибка!","640","Неправильная категория","tests","Mon Jun 16 12:17:36 UTC 2025","skipped","Mon Jun 16 12:17:36 UTC 2025","","test_wrong_requests","",""
"Последовательные тесты получения фактов из 16 категорий","681","Факты по категориям","tests","Mon Jun 16 12:17:32 UTC 2025","passed","Mon Jun 16 12:17:33 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","713","Факты по категориям","tests","Mon Jun 16 12:17:25 UTC 2025","passed","Mon Jun 16 12:17:26 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","703","Факты по категориям","tests","Mon Jun 16 12:17:30 UTC 2025","passed","Mon Jun 16 12:17:30 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","715","Факты по категориям","tests","Mon Jun 16 12:17:23 UTC 2025","passed","Mon Jun 16 12:17:24 UTC 2025","","test_chuck_categories","",""
"Тест попытки получения фактов при неправильной категории","707","Неправильная категория","tests","Mon Jun 16 12:17:35 UTC 2025","passed","Mon Jun 16 12:17:36 UTC 2025","","test_wrong_requests","",""
"Последовательные тесты получения фактов из 16 категорий","679","Факты по категориям","tests","Mon Jun 16 12:17:30 UTC 2025","passed","Mon Jun 16 12:17:31 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","689","Факты по категориям","tests","Mon Jun 16 12:17:26 UTC 2025","passed","Mon Jun 16 12:17:27 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","207","Факты по категориям","tests","Mon Jun 16 12:17:32 UTC 2025","passed","Mon Jun 16 12:17:32 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","737","Факты по категориям","tests","Mon Jun 16 12:17:28 UTC 2025","passed","Mon Jun 16 12:17:29 UTC 2025","","test_chuck_categories","",""
"Последовательные тесты получения фактов из 16 категорий","693","Факты по категориям","tests","Mon Jun 16 12:17:27 UTC 2025","passed","Mon Jun 16 12:17:28 UTC 2025","","test_chuck_categories","",""
